TID,Comments,Rating
tt0012349,while perhaps not as celebrated now as some of chaplins later features the kid is an excellent achievement and a thoroughly enjoyable film charlie and young jackie coogan make an entertaining and unforgettable pair and there is a lot of good slapstick plus a story that moves quickly and makes you want to know what will happen  chaplin also wrote a particularly good score for this one and most of the time the music sets off the action very nicelywhile its a fairly simple story this is one of chaplins most efficiently designed movies  every scene either is necessary to the plot or is very funny for its own sake or both  except for chaplin and coogan most of the other characters even frequent chaplin leading lady edna purviance are just there to advance the plot when needed and the two leads are allowed to carry the show which they both do extremely wellthe kid is also impressive in that while the story is a sentimental one it strikes an ideal balance maintaining sympathy for the characters while never overdoing it with the pathos which chaplin occasionally lapsed into even in some of his greatest movies  here the careful balance makes the few moments of real emotion all the more effective and memorablethis is one of chaplins very best movies by any measure  if you enjoy silent comedies dont miss it,0
tt0012349,ive always thought theres a great beauty and poignancy to the best slapstick comedies even unsentimental ones like keatons the general or laurel and hardys way out west the latter comedy has a scene where l&amp;h perform a softshoe dance; it always brings me to tears why? maybe physical comedy has the same kind of effect on me as a dance performance both art forms are very expressive; the fact that im laughing doesnt dilute the emotional chargeone of many things that made chaplin a genius was his understanding of how close slapstick is to pathos already why not marry the two things? thats what he did in some of his early short films and thats what he does in this feature comedy the little tramp finds an abandoned baby and raises him into boyhood but the authorities find out and want to take little jackie jackie coogan away meanwhile the mother who abandoned him has since become a wealthy singer and doesnt know if shell ever find out what became of himjackie coogan about five in this film with his charming manners his talents as a mimic and his adeptness at physical comedy is one of the alltime great child actors want more evidence of chaplins genius? coogan doesnt steal the film from him this is true even though chaplin as producer star and director makes every evident attempt to spotlight the boys talents coogan is even better here than he is in his own vehicles like my boy and oliver twistchaplins storytelling—even with the foolish subdickensian plot twists such as jackie suddenly taking ill—deftly draws out the comedy and pathos for maximum effect the individual scenes themselves are flawlessly constructed the windowbreaking scene the flophouse scene the dream sequence the tryingtogetridofthebaby scene—theyre perfect chaplins celebrated pantomimic skills are examples of storytelling in themselveswant me to criticize something? how about those thudding attempts to link the mother with jesus? but you know i cant even complain about that its too sweetly naïve and the movie as a whole is too good to allow us to sneer at the very few flawsone important note children love this movie show it to them while theyre young and youll make chaplin fans of them and thats better than their becoming fans of almost anything thats being peddled to them,0
tt0012349,wow is this a memorable film! it is one of the most famous silent movies ever and justifiably so that fact that it still entertains over  years after it was made is quite a testimony it is a wonderful blend of humor and drama charlie chaplins unique humor combined with an involving storyline and strong sentimentality make this one to remember chaplins humor ranges from pure slapstick to some clever stuntsthe kid  jackie coogan  is just as memorable maybe even more so he is unbelievably cute especially in those oldtime clothes he wore watching the expressions on his face even as a baby are fascinating and facial expressions certainly were a trademark of the silent eraso between chaplin and coogan and a very involving story that can break your heart one minute and have you laughing out loud the next its an amazing piece of work this is a very fastpaced story which lasts less than an hourthe special edition twodisc dvd has a restored version of the print so the picture is very clear actually astounding for its age excellent entertainment,9
tt0012349,the kid first national pictures  a comedydrama written directed and starring charlie chaplin  plays an important part his screen career aside from chaplin cast opposite marie dressler in tillies punctured romance  a mack sennett production hailed as the first feature length comedy the kid starts chaplin with a whole new cycle of feature comedies but releases coming once every two to three years a comic genius who got his start in comedy shorts starting in  eventually under the supervision and direction of himself chaplins methods in movie making improved with each passing film like himself jackie coogan chaplins littlest costar and title character made such an impression with his initial performance nearly upstaging his impresario that he immediately found himself starring in movies on his own becoming hollywoods first important child starthe kid starts off with intertitles a picture with a smile and perhaps a tear followed by the woman whose sin was motherhood titles much to the liking of a dw griffith directorial tearjerker starring lillian gish yet in fact might have seemed more logical for a griffith film than chaplins whose very name personifies comedy a young girl edna purviance leaves a charity hospital with a baby in her arms who turns out to be an unwed mother whose father carl miller a young artist never returns to her life the mother places her baby in the back of a limousine and walks away crooks enter the scene stealing the car discover the baby and place it in a trash bin in the poor district of town noticing the infant wrapped in a blanket charlie tries to pass it off to someone else but after stumbling upon a note which reads please love and care for this orphan child he decides to raise the child himself five years pass the kid whose name is believed to be john now charlies adopted son and sidekick start off each day with brand new adventures in raising money as for the kids mother shes become a star of great prominence devoting her spare time with charitable work handing out gifts to the children of poor districts where lives the kid the paths of the kid and his mother meet on numerous occasions unaware of each others identities when the kid becomes seriously ill and in need of immediate medical attention a middleaged country doctor having discovered charlie not the boys true father sends for the authorities from the county orphan asylum to take the child awaythe kid consists of many ingredients to make this an everlasting product especially for a silent movie made so long ago chaplin who constructs his gags to perfection has one difficult scene that comes off naturally this being where charlie cuts out diapers from a sheet for the infant as hes lying beside him in a miniature hammock crying out for his milk the baby immediately stops after charlie directs the nipple attached to a coffee pot a substitute for a baby bottle back into his mouth another classic moment on a serious nature is when charlie is being held back by authorities being forced to watch his crying son taken away from him charlie breaks away and goes after the truck as hes being chased by a policeman from the slanted rooftops the closeup where father and son tearful reunite is as touching as anything ever captured on filmchaplin and little jackie billed jack coogan in the opening credits display their talents as both funny characters and dramatic actors little jackie is especially cute as a miniature sized chaplin right down to his baggy pants chaplin giving one of his most sensitive performances is so convincing that it doesnt take away his screen persona as the lovable funny tramp from this point onward he would become less characteristic as a slapstick comedian and more agreeable as an serious actor at the same time adding more plot pathos and truly great comedy routinesas much as the present showing of the kid barely reaches the one hour mark chaplin includes enough gags and pathos to make it work the dream sequence where he finds himself in heaven surrounded by angels might appear trite and unnecessary for some but actually makes it essential to the plot which fits into the scene that followsthe kid which had been unavailable for public viewing for many years was resurrected in the s in revival movie houses with a brand new and wonderful orchestral score conducted by chaplin himself in  it would be nearly another decade for many to fully get to see and appreciate this little masterpiece when distributed to video cassette in  as part of the charlie chaplin centennial collection double billed along with a comedy short the idle class  in the dvd format the two disc set includes rare outtakes and deleted scenes turner classic movies has brought forth the kid as part of its movie library where it made its debut december   during its weekly silent sunday nights hosted by robert osborne and later in march  when charlie chaplin was selected as its star of the monthfor its age the kid holds up extremely well thanks to the convincing performances of both chaplin and coogan theres no doubt jackie coogan  became an overnight star with this one film he was a natural while the paths of chaplin and coogan would never meet again on screen anyway without them there would never have been such a true classic from the silent screen era as the kid ****,10
tt0012349,the kid is a powerfully emotional and wonderfully hilarious motion picture and was a tremendous breakthrough in charlie chaplins oeuvre chaplin hadnt filled a film so fully with pathos since the vagabond  and then it was in a very limited way subject to the confines of tworeel length additionally sunnyside  was a failure the feature length of the kid also allows chaplin to elaborate and refine the gags pranks and set pieces and with the support of jackie coogan its one of his funniest comediesthe parentchild relationship has proved potential as sentimental entertainment and for me not many have neared chaplin in exploiting that formula in the kid the sequence where they take the kid for a workhouse away from the tramp is probably the most powerful and endearing tearjerker moment in the filmor of all film in addition to chaplin and coogan edna purviance is also quite effective in the dramatic side of the picture furthermore chaplin and cinematographer roland totherohs photography had by then improved vastly over their work at mutual and chaplin was already an eccentric perfectionist but the musical score added to the  release composed by chaplin taken from tchaikovsky gives the sentimental parts its most verveof the slapstick one of my favorite scenes involves the tramp in fear of a bully its reminiscent of his mutual short easy street  which is made especially clear when the bully bends a lamppost with one punch there are many other great moments of humorous pantomime and farce in this film yet the kid is much more than that which makes it such a breakthrough; the slapstick fills the plot and there is more of a developed plot here than in chaplins previous work this was the beginning of the tramp as the sympathetic pitiful hero as well as clown thats so recognizable and beloved to this daymoreover the dream sequence is an ingenious plot device; it adds dimensionally to the narrative and asserts its themes while delaying the inevitable conclusion of the outer narrative to poignant effect its also funny in a silly way its somewhat analogous to the outer reality story although with much ambiguity i wasnt always sure chaplin was making any clear point such as with the christ image earlier in the film but that seems unimportant; the kid affects the emotions and isnt especially aimed at engaging the mind at six reels with more sets and a developed plot this film was already an expansion compared to chaplins previous films; the dream sequence satisfyingly expands the narrative depth thus making the kid chaplins first complete feature,9
tt0012349,it is hard to find such delightful and adorable movies these days as the kid it is a silent movie but so rich winning and beautiful that you don´t nead words chaplin and year old coogan are possibly the most charming pair i have ever seen in my life the film succees to be nicely light and full of joy but also overwhelmingly sad and sentimental i always get my eyes full with tears of saddness and happiness and i really never cry in movies and the musicits simply oscarlevel! the movie is sympathetic full of feeling touchingly funny moments it is truly a masterpiece showing how extraordinary talented person charlie chaplin was considering this film is respectively over  years old! so don´t you miss it because of it´s age don´t miss it,10
tt0012349,charlie chaplin was perhaps the most innovative auteur of the silent era and certainly the most famous his character the tramp is now a cultural icon and will forever be a symbol of poverty and travesty that was american society in the early th century but something all of us can overcomein one of his first roles with this character he played opposite a very young jackie coogan who would go on to play uncle fester in the cult tv series the addams family taking himself and this very talented young boy chaplin made a masterwork; one that he truly could call his own as he wrote directed starred in and composed the score for this filmhere chaplin feeds to one of the most basic of all human desires to care for a child and be needed and loved by one another the tramp finds an abandoned baby in an alley and in order to not be caught by a policeman he takes the child in as his own he hasnt got much but he does have love which is more than can be said for the childs motherflash forward five years and now the mother wants her son back circumstances arise and soon the tramp is fighting for the right to keep his little companion even so the story is thin but i believe chaplin was going for something more deep and meaningful this also gave him a chance to work on some different visual styles and comedic gimmicks things not used much at the time in the movies using these little tricks and ideas chaplin creates a real persona not just for himself but also the supporting cast and involving us in the storyhowever at the heart of the story are the emotions about fighting for the right to be a parent/guardian; someone the kid can look up to and sleep beside and confide in it tugs at your heart all while making you laugh sometimes in the same scene this shows the work of a true genius; someone who knew what he wanted to create and the style in which he wanted to portray it,8
tt0012349,is there a way to name the greatest filmmaker of all time? probably not to different people its gonna be different person so i can speak only for myself let me try to describe my favorite contestant for this award,0
tt0012349,its easy to call charlie chaplin a genius but ill say it once again the man was a genius if only at doing a certain particular kind of film you wouldnt ever see charlie chaplin doing a silent horror film or at least one like out of germany or even a big epic that ran griffith lengths his artistry was concerned with those who could just about afford the price of a ticket back in the s and s to see his films and he combined pathos that was incredible and unique in and of its spectrum of humor and compassion some may call films like the kid and even city lights sentimental but they may miss the greater picture at work which is that any sentiment is orchestrated and the usual kickedaround word manipulated amid the comedic setups earned sentiment is different than faux sentimentality chucked on to the viewer and if any case could show this distinction better it would be hard to find a better example then the kidas it stands even at  minutes which was trimmed by chaplin himself  years after its original release and including a new musical score its just about a perfectly told tale it is short in either cut form but its so simple a story to tell that anything else would just likely be padding; even that dreamland sequence towards the end of the film is crucial and allows for chaplin to let loose on a wonderful lightanddark examination of all the major characters in the picture now with angel wings and devil horns! what its about in complete basics is that a woman leaves her baby in the backseat of a car thinking she wont be able to take care of him and the baby winds up by chance in an alleyway the tramp is at and the tramp decides to take care of him he even names him in one amusing aside john then it cuts to  years later and the two are an intrepid duo as they break and fix windows eat lots of pancake and the tramp nearly gets pummeled by an older brother of a kid john gets in a fight with meanwhile the mother is now a success not knowing her child is somewhere right in front of her nosethis may sound like a bit of story but its told briskly and without a missed beat in editing and chaplins reedit tightens it to a point where were mostly with the kid and the tramp their scenes are everything that chaplin wants them to be playful absurd cute and bittersweet to a degree we know this cant exactly last but the moment the poor maybesick kid is taken away to the orphanage becomes one of the most tragic and yet partially triumphant sequences in the movies its in a case like this where we as the audience tear up more or less as the kid is being carted away crying his eyes out and then intercut with chaplins daring dash across the rooftops to save him that we see the genius of comedy and tragedy combined and working off each other this is assisted greatly throughout by child actor jackie coogan who may be one of the very best child actors in any film silent or otherwise; that its silent adds to the challenge and success of pure pantomime that without fault feels true even a beat with the kid playing with toys an obviously cute bit is great and up for the task of playing off a quintessential clown like chaplinfeaturing some excellent setpieces just unto themselves aside from dreamland there is the fight between chaplin and the brother with that bellylaugh part with the repetitive brickhit to the head or when tramp and the kid stop to sleep for the night at the home and have to sneak around to try and not pay an extra coin an absolutely beautiful musical track from chaplin and excellent performances from all supporting cast including frequent chaplin star edna purvivance its altogether an aweinspiring feat to see this or city lights or modern times to an extent is to see ideas and character outlasting far beyond their time and place as something far more valuable to the public consciousness,10
tt0012349,charlie chaplins study of a tramp teaming up with a street kid the cute little jackie coogan has a fine line to tread between humour and pathos and true to what you would expect of his best work does it superbly  the tramp always manages to wring the hearts of his viewers and adding a little boy to the mix was the finishing touch  look out too for little lita grey in the angel sequence who would become chaplins nd wife four years after this film was made,0
