TID,Comments,Rating,class
tt0015864,first silent film ever seen really wa not use absolutely no sound piano background  minute movie wa neat see actor using exaggerated expression get feelings/ideas acrossi felt like gag and like someone getting chased around cabin or lonely prospector burning stove got really old quickly dont know maybe im different time period and way life film didnt anything didnt really like plot movie and thought wa little spread and could effect wa   minute long and nothing would lost,3,0
tt0015864,gold rush showcase sort chaplin provides audience wide range cinematic element signature slapstick routine dramatic relationship rag rich plot wa interesting and witty felt dragged chaplin good emotionally engaging audience relateable situation like getting stood or competing woman lack serious conflict make film seem simple special effect handled nicely even today standard true enjoyment film come watching tramp endure hardship accidentally progress wealthiness and see life fall together favorable coincidence,6,0
tt0017136,one definitely cant fault breadth and ambition fritz langs vision even always depiction future forgivable blind spot car swarm and multiple level metropolis unmistakably standard model flyingmachines buzz them; business dress tomorrow ruler unlike exotic leisure wear doesnt appear advanced one iota!hgwells criticised film adherence arty image scientific rigour and piece coherent science fiction certainly lacking claimed machine exist appear awesome and torment worker rather perform apparent task and no explanation society function evolved or sustained let alone incongruity must surely lie behind anomalous location catacomb and cathedral well futuristic film thing come conceived direct riposte langs unscientific approach tedious and talky result didactic heavyfooted philosophy and explanation and lacking artistic vision metropolis may soft sf approach undoubtedly make better cinemai not however impressed film masterpiece modernism may  great design and special effect cant save today bigbudget clunkers deficiency character and plot and dont save one ironically suspect reputation ha benefited greatly silent film many viewer ever encountered reading imdb page see wellmeaning comment like great  consider primitive cinema wa  and get used fact take ten gesture convey one sentence wasnt  and doesnt!as silent film go many place agonizingly slow and repetitious marred clumsy acting tendentious title and overwrought gesture late cinema progressed far beyond laboured pantomime langs case heavy stylisation may deliberate choice compared fluidity contemporary sjostroms wind or scarlet letter asquiths underground or shooting star and murnaus sunrise film come across ten year behind time problem not necessarily actor  brigitte helm ha observed doe excellent job differentiating two character  direction and pacingwe saw restored version original gottfried huppertz score; latter didnt always seem fit well pop jump and awkward silence wa assume due either difficulty fitting allow missing material or problem projection booth running newlyarrived print first time however painstaking summary various missing scene ended increasing appreciation good job done editingdown first place! take single example edited version conveys freders sudden recollection supposed worker longawaited mediator via simple juxtaposition three shot  shiftchange whistle announcing meeting catacomb and freder suddenly struck idea and rushing  restoration betrays fact couple scene mimed dialogue originally provided spell message painstaking lengthit interesting see wa done cut either improvement or clever abridgement and and large didnt feel wa omitted great loss fact frankly felt film wa need editing certain point rotwangs pursuit maria catacomb scream and run and scream and run and pursued searchlight effect; clever selfconsciously clever first couple time repetition becomes tedious point caricature plot infelicity abound increasing number culminating infamous hunchback notre damestyle ending mad scientist carry girl across roof cathedral hotly pursued hero raised giggle hitherto serious and respectful audience couldnt help sympathisethis film see lifetime say seen  not least impact lie visuals surface and no substance character act arbitrarily plot subservient message pacing like treacle storytelling technique primitive and really ha going visual flair and special effect quite honestly believe work would better appreciated set still glossy brochure; exhibit design exhibition not cinema love  innovative may art actual film poor shadow,6,0
tt0017136,really hate dont enjoy classic film really want enjoy cant want understand people love cant metropolis fall category unbearably slow film watched restoration  hour longthat may bad idea start interesting idea seems not really much year  wealthy rule city metropolis lowerclass work hour end underground awful condition master metropolis joh fredersen alfred abel and son freder gustav frohlich spends day rich people place called pleasure garden truly doe nothing woman named maria brigitte helm brings group working child visit pleasure garden and freder quickly enamored maria freder decides explore underground part city shocked explosion go and kill multiple worker report father disappointed son wa first report assistant josepha theodor loo and assistant quickly fired doe immediate job showing coldness joh never much else character fact little character developed anyway completely uninteresting and setting compelling first quickly loses anything interesting halfway film film move snail pace anyways main aspect plot worker led maria stop feud rich and poor nonviolence and eventual arrival mediator make happen real issue film start great idea and potential become something like  im aware came afterwords and novel still example instead becomes filled strange religious allusion and becomes witch hunt essentially end never really decent social commentary wouldnt matter film wa actually entertaining spurt and quickly becomes repetitive bore think special effect impressive and film obviously important first full length science fiction filmwell ever doesnt mean hold doesnt fact itd hard believe film wa entertaining  still wonder watched shorter version film much wouldve enjoyed film certainly wouldve paced better considering much film unbelievably uninteresting dont think change fact movie doesnt really anything isnt entertaining doesnt really message movie? guess good special effect ? whatever im glad gave classic chance highly doubt ill revisit anytime soon,4,0
tt0017136,wa anxious see metropolis first time silent movie couple year hadnt opportunity see fritz langs classic finally saw silent movie theater hollywood and feeling say least mixedthe film visually stunning monumental set brilliantly directed scene amazing special effect standard time fact might say wa enthralled visual effect movie wa say lord ring or avatar whereas cameron and jackson used cgi make vision come true; lang use camera trickery paint and woodthis movie no doubt set lexicon scifi and blockbuster genre stone image metropolis repeated innumerable movie scene underground city flooded ha curious similarity james camerons titanic even villainous rotwang seen character dr strangelove and doc brown back futurebut story and dialogue and acting overwrought even standard time dont enough room go thatstarting opening line lookthese brother violent cringe would run body every time intertitles would appearthe later line head and hand needing heart mediator caused huge outburst laughter theater serf basis moral story wa eerily similar grinch stole christmas essentially boiled somebody according writer thea von harbous later belief turned adolf hitler need appeal heart capitalist manager and tell nice worker outcome grudging handshake head manager joh frederson and leader worker grot; and thus begin shining new day!metropolis also incorporates religious symbolism say least heavyhanded scene seven deadly sin tower babel altar moloch and flood warn doom decadent society exploit weak and kill righteousin end muddled mixture socialist call justice and christian apocalypticism creates political message lang described sillyi recommend film artistic brilliance and groundbreaking technique dont go expecting award quality filmif want get silent film relatively easy one get start however dont know thats good or bad thing ive met many people whove said metropolis wa best silent movie theyve ever seen; probably mean wa one ever bothered watch would recommend sunrise or city light first,5,0
tt0017136,typically dont like silent film decided watch one two reason  first usually like scifi movie and second metropolis received many glowing review couldnt pas  however opinion film reviewer sayingkinos digitally remastered version dvd impressive  sound and picture quality excellent  however conclude favorable review film likely based nostalgia film influence future film and incredible visual effect given year release  film history buff and silent film fan see movie  thought wa good film not great one  rating  much high and # plenty better film ranked itfirst good part film  special effect excellent pres film  mindlessness working class portrayed well work decision make and easily led/misled  main character well developed throughout film and audience relate well  film visually stunning and impressive  story working class vision future machinemen etc strong influence many film came later,4,0
tt0017136,time movie ha stunning visuals kind kubrickesqe appearance especially opening scene worker going and coming work strange group leaving walking head like zombiesthe set design also something might draw attention really ha futuristic look thought visuals fascinating wa german expressionist filmwork height would think director fritz lang went become famous man profession wasnt first effort think might film put map speak several year later gained lot fame rate photography set and overall flash gordontype scifi look must real eyeopener movie viewer  year ago still think look cool today music wa also dramatic least restored  surround sound restoration dvd put klinoobviously eye makeup men and exaggerated motion actor silent film look little hokey wa mesmerized brigitte helm play maria and evil clone something else! also appreciated klinos explanation lost footage and best could still make story flow together outstanding job wouldnt attempt watch anything le dvd look pretty darn goodthis worker story man wanting trade comfortable life join oppressed worker thing beneath earth metropolis worker seen nothing replaceable robot someone get hurt get carted away and replaced immediately zombielike human course people mistreated take long rebellion thats history day jewish slave egypt today thats part story wont say ruin iti dont want mislead people one major point today audience watching people  watch silent movie ask sit two hour silent film obviously asking lot break several viewing thats okay still enjoyed itbut silent movie long not easy sit student film or big film buff watch thisbut people rewarded  review show film ha enough offer or least take look restored version available check out!,7,0
tt0017925,would eventually gotten around watching film curiosity wa piqued saw miraculously jumped number #  version afis top  movie time list didnt make cut original compilation  even seeing picture wonder might affected movie critic intervening decade reach conclusion usually line majority case admit dont quite get picture found entertaining enough occasion never got sense wa one great comedy classic time way heralded dvd sleeve dont think civil war lends much comedy right expectation greatly reduced keaton somber demeanor and generally stone faced disposition dont help flip side wouldnt expected slapstick move story along either least wasnt disappointed regardwhat enjoy rather offbeat moment showed genuine creativity johnnie gray keaton dejectedly considered rejection confederate army and pondered situation sitting train connecting rod resulting visual wa pure genius and motion lent truly surreal juxtaposition johnny thoughtful reverie and wa one highlight picture methe significant scene gave pause wa texas collapsed burning rock river bridge starter found unbelievable wooden bridge could possibly constructed strong enough support locomotive came learn scene wa expensive ever made silent film and give keaton credit going kind limb  unbelievableoh yes and cant forget sequence keaton marksmanship dead make contact rail tie blocking train track flipping way well timed throw could possibly done one take? precgi world difficult imagine stunt like could performed particularly actor no recourse keaton deserves accoladesin clever film making however wasnt inspired central plot element doesnt hold  johnnie gray wa rejected volunteer wasnt simply told reason one could argue wouldnt picture left story shaky footing johnnie wa valuable train engineer soldier picture might taken different approach rest element could remained and still would come hero maybe im second guessing master thats come away withconclusion  movie didnt make afis top  film list  dont understand might occurred intervening year suddenly film critic vault top  time chaplin city light estimation superior silent film fell list gold rush moved notch may not professional know like and one didnt,7,0
tt0017925,watch general awed and amused take place consensus view correct amazing movieyou know whats amazing? despite critic say buster keaton made funnier better film thiskeaton lifelong railroad buff engineer johnny gray captain general locomotive carry passenger and freight across american south civil war break try enlist and thus please girl annabelle lee marion mack authority deem useful running train union spy seize general idea using burn bridge and disrupt confederate supply line gray save daynew york time reviewer mordaunt hall reviewed general back  and expressed disappointment no mean good mr keaton previous effort wrote people cite hall review classic example whatdocriticsknow read agreed fun not exactly plentiful wrote noting keaton wa much acrobat little clownwhen watched general felt disappointment like hall wasnt total; exciting and inventive and boast finest screen composition ive ever seen technical expertise display astounding overall experience left bit flatfirst roger ebert liked call idiot plot gray try enlist and rejected army valuable train engineer annabelle apparently never learns reject coward dont want speak youre uniform huffseither idiot not explaining truth matter or shes idiot preferring lover cannon fodder real asset cause anyway buster doe manage make play later finally speaks uniform enemy uniformthe main issue involves lincoln called slows lot story literally trainwatching buster doe brave amazing stuntwork and throw clever gag later joined mack no sibil seely still quite game basically lot watching train go craft precision camerawork and splitsecond timing not much comedy fact except buster everyone play completely straight probably real history presented compared keaton comedy feel bit straitjacketed thatthe general still solid thrill comedy amusing one liner lose war dont blame johnny yell rejected and brilliant sight gag like fussy annabelles rejection unattractive firewood buster struggle stoke engineto thats enough general another good reason loving buster keaton cant understand preeminent reason maybe critic cant really love comedy making laugh and laugh im glad keaton made movie least brilliant general and funnier,7,0
tt0017925,buster keaton performance general wa purely enjoyable story take place civil war center johnnie gray keaton train operator south johnnie not accepted service confederate army value railroad and suffers shame home men fighting war beloved engine hijacked union soldier unpredictable story go overdrive johnny adventure includes train chase rescuing love life daring escape and climactic battle film ha distinct action/adventure aspect core brilliant comedy/drama keaton performance superb ha ability effortlessly change mood and mood film facial expression and physical comedy keaton character seems make endless mistake work best and good decision dangerous situation easy imagine keaton major influence future comedian and personally felt like wa watching mel brook previous generation general wa fun film watch true star buster keaton turning timeless heartfelt performance,7,0
