,commnets,Rating
0,James Stewart and Frank Capra  One neednt know much more going in to be assured that this will be an enjoyable film  Together they take on the Washington elite with this dramatic comedy about a naïve Washington outsider who gets appointed to the Senate and stands alone against corruption and graft  Jefferson Smith James Stewart is appointed from an unnamed state after one of its Senators dies  He is appointed because the political fat cats need someone who will not seem like a crony but who will not stand in the way of a graft scheme for a pork barrel dam that will make bigwig Jim Taylor Edward Arnold millions  When the wide eyed Smith gets to Washington he discovers the corrupt bill because the dam will stand in the way of his own proposed bill for a childrens camp  When he tries to stop the project Taylors political machine frames him to make it seem like he is the one taking graft  This leads to the dramatic confrontation in the Senate where Smith filibusters in an attempt to get the truth outThis film is wonderful in so many ways  The story is a classic struggle between good and evil  In typical Capra style the protagonist and antagonists are exaggerated so there is no confusion as to who are the good guys and who are the bad guys  If there is one clear message in Capras films it is that those with strong moral fiber never give up hope  He likes to create utterly hopeless situations for characters to test their integrity and rewards unswerving adherence to basic values and principles by triumph against the odds  I was dismayed to see a comment obviously from a young viewer of this film that said that the characters werent realistic because no one used profanity  This is a sad testimonial to our culture when it inconceivable to young people that there was once a time when profanity was the exception and not the rule Stewart is brilliant as the idealistic and awe struck kid from the backwoods who is overwhelmed by the glory of Washington with its monuments and history  The story brings us a confrontation between political expediency and idealistic principles with the message that the truly great men are the ones that dont compromise their principles to hold on to power  Stewart also brings a whole treasure chest of bumbling comedic sight gags that make him all the more lovable in the partJean Arthur is fabulous as the tough and savvy assistant who is jaded by Washington politics but gets a fresh injection of fervor as she listens to Smiths noble homespun philosophies  Claude Rains is also masterful as the adulterated Senator who sold his soul to corruption for a chance at the presidency  He plays the simultaneous sense of guilt and ambition with a torment that is clearly ripping his heart out and the power of both emotions portrayed in his performance makes his character both repugnant and pitiableThis film is a national treasure  It is in my top  list of all time  The story of corruption in politics and the greatness of the men who resist it is timeless and would not be lost on the politicians in Washington today  A /,10
1,Now I must admit that this is one of my top five favorite films There is a warmth idealism and kinda simple feeling of hope that makes one believe that things will work out in the end Capra knew exactly what he wanted and it shines Jimmy Stewart in the role of his life makes us believe what we know is almost impossible in todays crass worldClaude Rains is incredible as Senator Smiths evil mentor Jean Arthur as his confidant plays the part so wellthat we just want her to save the dayThe final scene where the filibuster is taking place is among the greatest ever madeBUT THE PROOF YOU ASK?In the early s I showed this film over three days to a group of  year old inner city teenagers I taught Political Science in a very difficult school in Chicago It was a new class and not all of the best students took itI decided to show this film at the end of the year just to see how long I could keep the students attention I didnt expect much Fifteen is a very tough age to keep any kind of attention span and it was at the end of the day   pm which made things worse As the film began there was rustling in the seats boredom that famous oh what a waste of time lookMind you this is  year old film about a white Senator in those old days and being shown to a totally AfroAmerican crowd of  year olds late in the day over a three day period which meant the students would have to wait till the next day to see what was going on By the end of the third day Capra had worked his magic and the entire class was spellbound by this film They were there till the very end and you could see how much they enjoyed seeing a film that they wouldnt have looked at in a thousand yearsComments were wonderful Any film that could accomplish this more than  years after its conception to a crowd that no one would believe would have any interest in deserves to be truly called a great film,10
2,The media and those in Washington DC cringed in  when Frank Capra Oscarnominated for directing come out with Mr Smith Goes to Washington Capra fresh off amazing successes like Lady for a Day It Happened One Night Mr Deeds Goes to Town Lost Horizon and You Cant Take It With You used his power to slap some bigwigs in the face with a powerful mediumthe motion picture The result was an immediate backlash by publications and politicians but cheers from critics and the audience As with society the critics and the masses won out as the movie is a masterpiece in every way A US Senate vacancy leads to a dilemma Who should be put in office? Everyone believes the apparently naive and gullible James Stewart Oscarnominated is the logical choice because he will be easy to manipulate and he wont rock the boat Stewart the leader of the Boy Rangers a local camp association for youngsters gets blindsided by many highranking officials who have alterior motives Oscar nominees Harry Carey and Claude Rains in particular when his idea for a national boys camp goes by the wayside Thus the only thing left for Stewart is to beat those in charge by beating them at their own gamecreating a filibuster a neverending governmental argument for his cause Stewart is solid as always here and the supporters love interest/reporter Jean Arthur and drunk newspaper man Thomas Mitchell included with the aforementioned players are all terrific throughout The Oscarwinning screenplay is deceptively intelligent and Capra just had the uncanny ability to mix comedy drama and interpersonal characterizations together to make consistently wonderful American film experiences  stars out of ,0
3,Since the beginning of the art form movies have generally fallen into two categories the realistic and the fantastic fantasybased  There are some that point out that the films of Frank Capra unduly fall into the latter that they are completely farfetched and fastened in their own time and even invented a pejorative term Capraesque to describe any noncynical heartwarming picture that has a message  His great films like It Happened One Night Its a Wonderful Life and of course Mr Smith Goes to Washington however are not fixed in a single era but all eras the truest definition of a classic  And considering it was released among true powerhouses in  a year as important to movies as  was to baseball its ideals story and general excellence shine as bright today as it did over  years agoA Senator from an unnamed middle America state dies and a new one must be appointed by Governor Hubert Hopper a puppet whose strings are held by newspaper magnate Jim Taylor  They need to find one that would be easily controlled by the nowsenior Senator Joseph Paine played brilliantly by Claude Rains so a bill allowing a building of a dam near land by the Willett Creek owned by Taylor can pass in the Senate  After his initial choice is rejected by Taylor and Taylors handpicked man is shot down by the public the governor chooses Jefferson Smith played to perfection by James Stewart a boy scout leader and local hero who is both wholly idealistic in his patriotism for America but naive and blind to the actual process  After he gets embarrassed by the local print media Mr Smith begins to learn the harsh realities of DC  Paine Smiths boyhood hero takes him under his wing and suggests that Smith try to create a bill Smith agrees and with his assistant Clarissa Saunders played by Jean Arthur they create a bill to create a campground for boys from all over the country to learn about each other and the civic process much to the initial dissuasion by Saunders  Smith then wants to choose a site near the Willett Creek the same site where the dam is to be built and when his superiors and true stringpullers find that out major complications ensueAlthough the basic premise is David vs Goliath the story is wholly originally and was probably one of the earliest pictures to suggest the government as corrupt  The characters are played excellently by all principal actors with Mr Smith you root for wholeheartedly Mr Taylor you root against for his sheer arrogance and greed and Mr Paine who you pity as you see a man who lost his initial zest to serve the public and is now a jaded shell of his former self  A great performance was given by Harry Carey Sr who plays the Vice President/President of the Senate for comic relief  The lines where completely believable and the parts of Smiths final filibuster that were shown give the most impact  There is a beautifully shot scene with images of the monuments and sights of Washington with several national anthems synchronized as the score  The climax is as tensionpacked as drama can get and while the ending may seem rather sudden and everything isnt completely or neatly resolved it works perfectly and ends the movie on a happy noteObviously few if any people elected to public office has the moral character conviction and general good heartedness of Jefferson Smith and I doubt whether the government would be better if it was  The movie showed an ideal a supposed lost cause of truth in government  And although it is next to impossible for Capra and the eternal good guy Jimmy Stewart to ever fully change the world of politics with just a motion picture at least it shows that maybe once in a great while being the good guy has its definite rewards  If using the same analogy of the  baseball season The Wizard of Oz and Gone With the Wind were the Mark McGwire and Sammy Sosa of  moviemaking then this would be like Cal Ripken voluntarily ending his Iron Man Streak something done with full class and the highest respect in mind and that elevates an ideal of being the good guy and sticking to your dedication brings the greatest of riches  This picture is flawless in all respects and a true classic with thoughtprovoking ideas wit a little bit of platonic romance and an excellent cinematography and score and deserves the rank as a  out of   And in giving this rating either Im damn right or Im crazy,10
4,Frank Capra and James Stewart were nearly unsurpassed at the task of taking the kind of story that is optimistic but that borders on being trite and making it into a satisfying worthwhile movie In Mr Smith Goes To Washington they accomplish this with a little help from Jean Arthur Claude Rains and Edward Arnold Its not quite on the level of Its a Wonderful Life but it is as good as almost anything else of its kindStewarts performance is important right from the beginning  hardly anyone else could have been believable as the earnest unknown who suddenly becomes an important political figure Even his wideeyed appreciation for what he sees in Washington comes across believably As the story gets more complicated and his character is developed further Stewart is even betterThe secondary characters are also important because the story itself is a rather stylized though still worthwhile statement about politics The characters are more believable than are many of the plot developments Rains contributes a lot as Stewarts troubled colleague and Jean Arthur is a natural for this kind of role Arnold plays his devious character well Capra holds it all together with his craftsmanship keeping the story on track and getting the most out of the situation,0
5,It was a lot of fun watching Mr Smith Goes to Washington in a class where the professor noted how this was the sort of film that was of historical importance while not taking itself too seriously And I think thats the way Frank Capra wanted it in a sense Perhaps in the time of  America this film was seen as being of merit to the American Governments due though according to the trivia it was denounced at showing corruption and even banned for showing how democracy works But the director is also wanting to make an entertaining movie of the kind of Hollywood appeal that brings to years olds in attendance What had me interested throughout particularly in that climactic rousing twentyminute sequence in the Senate with Jimmy Stewarts constant unfaltering filibuster is how it really is a patriotic kind of bravura to be shown on the screen Here is how it SHOULD be done to an extreme perhaps in getting things done in government But at the same time Capra keeps it entirely watchable with that group of kids up on the balcony keeping the audience laughing and smiling all the way through the great lines that Stewart says Great principles dont get lost once they come to light Theyre right here; you just have to see them again! This is a kind of talent that Im sure few other filmmakers at the time or even after could have pulled offThe rest of the film isnt just Stewarts struggle to be heard as a young newintown senator Its also a witty more often than not true look of how government tends to really work as opposed to how it should Basically the core of the story is the fishoutofwater type where Stewarts Jefferson Smith one of his better Hollywood performances leader of the Boy Rangers is called to be the senator of his state He has a childhood hero in town in the form of a senior senator Claude Rains terrific as always And theres even a woman Jean Arthur in the mix thats growing an interest in him at first dubious But despite the corruption that is almost thrust upon smith by Jim Taylor Edward Arnold as skilled a character actor as could be asked for Smith fights it all the way to his final filibuster which includes a reading from the Constitution inandout cheers from the Boy Rangers and general guffaws from the other senators In other words its really much in that pure spirit of Frank Capra that Mr Smith is working in and even at its cheesiest and sometimes mostdated moments its a very successful picture for what it wants to do Its really an equalopportunity kind of film about people in politics that should be able decades later to appeal to both the hopeful and the cynical and it works as good as it does a comedy as it does a piece to show in history of film or American government course,10
6,Mr Smith Goes to Washington is a wonderful film about a man Jeff Smith James Stewart who believes that children are the future and should be able to enjoy the outdoors while taking in knowledge of their great Country When a senator dies in Smiths state the governor is forced into an awkward position of electing the new senator While the governor is sitting down to dinner his young children propose the idea of Jeff Smith who is head of the Boy Rangers and prints a weekly newspaper for the local children Mr Smith is elected into office in the funniest way a coin toss ,10
7,Mr Smith is as good as its legend Sometimes Im disappointed when a universally acclaimed movie isnt as enjoyable as I thought it would be But here that is not the case James Stewart is deservedly remembered most for this role Thats saying a lot given his impressive body of work This is also Frank Capras signature film along with Mr Deeds The idealism of Jefferson Smith might feel a bit anachronisitc today but and I know this is a cliché the world could use more people with his values The supporting cast is also spot on Jean Arthur plays the same type as she did in Mr Deeds and Claude Rains is terrific as the mentor who betrays Smith Strongly recommended /,9
8,Frank Capras knack for getting the best out of JAMES STEWART and JEAN ARTHUR is demonstrated here with both stars giving superb performances Ironically Stewart would not win the Oscar for this role but was awarded one the following year for a lesser role in THE PHILADELPHIA STORY,0
9,In Mr Smith Goes to Washington a US senator suddenly passes away and Mr Smith is tapped to fill the position Unbeknownst to the honest decent Smith he is intended merely to be a puppet of the powerful forces that already control the states governor and its other Congressmen Smith collides headon with these forces and must fight to save himself and his values from destruction in the public arenaMr Smith directed by Frank Capra is not meant to be very realistic The basic plot and characters of Mr Smith are borderline ridiculous Smith goes beyond naive to the point of appearing ignorant and lacking in common sense at times He seems to have the civics education of a ndgrader Everything in the movie is exaggerated to the extremesCapras DC is likewise a caricature The US Senate is a united front of entrenched cronyism They move as one nonpartisan mass always supporting each other in their mutual corruption The media is easily herded into line an interpretation that probably strikes closer to truth although that system today has been undermined by the InternetStill if the true Washington is not quite as fraudulent as Copras version theres no doubt that it is probably perceived that way by many Americans today The film touches upon real issues that affect modern politics Its amazing how relevant certain lines and scenes remain after all these years perhaps more so todayWhat did bug me about the film was its shamelessly idealistic view of smalltown American heroes like Mr Smith Like a Bruckenheimer movie where Billy boy and Jim Bob from the ranch save the planet Mr Smith sometimes comes off as a selfcongratulatory pat on the back to the common man It rails against the elitism and special interest of Washington a popular sentiment todayThis might not bother me so much except that this country is just coming off an extended experiment of putting a commoner in a government seat of critical importance and things didnt turn out so hot As nasty cold and dirty as it may seem to place a compromising politician into DC that may be preferable to putting an oh shucks well golly gee I dunno kinda guy into a position of major responsibilityThis country has a low tolerance for corruption It has an even lower tolerance of incompetence,7
